ID,Cluster,Age_Grp,Gender,ADC,Reg_Flv,Reg_Len,Reg_PrcComb,Reg_Barrel,Reg_Tar,HH_Inc,Mon_Allowance,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
967,Clus 3,G 5,G 1,5,G 1,G 1,G 1,G 1,G 1,G 6,G 6,0,0,0,0,0,-1,-1,1,1,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,1,0,0,1,0,1,1,-1
976,Clus 2,G 8,G 2,19,G 2,G 1,G 2,G 1,G 4,G 4,G 2,0,0,-1,0,0,0,1,-1,1,1,0,0,1,0,0,-1,1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0
995,Clus 2,G 8,G 2,30,G 2,G 1,G 2,G 1,G 4,G 6,G 6,0,-1,-1,0,1,0,0,-1,1,-1,0,1,-1,0,0,-1,0,1,-1,0,0,1,0,0,-1,-1,0,-1,1,0,0,0
"1,029",Clus 4,G 10,G 2,30,G 2,G 1,G 1,G 1,G 2,G 2,G 4,0,0,-1,0,0,-1,0,1,0,0,-1,0,-1,0,1,0,-1,0,-1,-1,0,-1,1,0,0,-1,1,1,1,1,0,0
"1,036",Clus 2,G 7,G 2,10,G 2,G 1,G 2,G 1,G 2,G 8,G 5,0,-1,-1,0,0,-1,1,1,0,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,1,1,0,-1,0,1,0,0,1,0,-1
"1,037",Clus 4,G 7,G 2,15,G 2,G 2,G 2,G 1,G 4,G 3,G 4,-1,-1,-1,1,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,1,1,1,0,0,-1
"1,066",Clus 5,G 7,G 2,20,G 1,G 1,G 2,G 1,G 1,G 6,G 4,0,-1,0,0,0,-1,-1,1,1,0,-1,0,0,0,0,0,0,0,-1,0,1,-1,0,-1,-1,-1,1,0,1,1,1,-1
"1,072",Clus 5,G 7,G 1,10,G 1,G 1,G 2,G 1,G 3,G 7,G 2,-1,-1,-1,0,0,0,0,1,1,0,0,0,-1,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,0,1,1,0,1,0
"1,073",Clus 2,G 5,G 2,4,G 2,G 1,G 1,G 1,G 4,G 2,G 5,-1,-1,-1,1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,-1,-1,1,0,0,0,1,0
"1,077",Clus 4,G 7,G 2,10,G 2,G 2,G 2,G 1,G 1,G 2,G 1,0,0,-1,1,0,0,0,1,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,1,-1,-1,-1,1,1,1,1,-1,0
"1,085",Clus 5,G 9,G 2,10,G 2,G 2,G 2,G 1,G 1,G 2,G 2,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,1,1,1,1,0,-1
"1,095",Clus 1,G 10,G 2,10,G 1,G 1,G 1,G 1,G 3,G 8,G 11,0,0,0,0,-1,0,1,1,1,-1,-1,-1,0,1,0,0,0,0,-1,-1,-1,0,1,0,0,1,1,1,1,1,1,0
"1,125",Clus 5,G 9,G 2,15,G 2,G 2,G 2,G 1,G 1,G 8,G 11,1,-1,-1,1,0,0,0,-1,1,1,-1,0,0,0,1,0,0,1,-1,0,0,0,1,0,0,0,0,0,1,1,0,0
"1,129",Clus 3,G 5,G 2,15,G 1,G 2,G 2,G 1,G 1,G 6,G 2,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,1,0,-1,0,1,1,1,1,0,-1
"1,143",Clus 4,G 9,G 1,10,G 2,G 1,G 2,G 1,G 2,G 4,G 2,0,0,-1,1,1,0,-1,1,0,1,0,-1,0,1,0,-1,0,0,-1,0,0,0,0,0,-1,0,1,1,0,1,0,0
"1,146",Clus 4,G 7,G 2,1,G 2,G 1,G 2,G 1,G 2,G 5,G 2,0,-1,0,1,0,0,0,0,1,0,-1,-1,0,1,0,-1,1,0,-1,0,0,0,1,0,-1,-1,0,1,1,1,-1,-1
"1,178",Clus 4,G 9,G 2,20,G 2,G 1,G 2,G 1,G 1,G 11,G 17,0,0,-1,1,0,0,-1,0,0,1,0,0,0,0,-1,0,-1,0,-1,1,1,0,1,0,-1,0,1,1,1,1,0,-1
"1,192",Clus 1,G 7,G 2,15,G 1,G 1,G 1,G 3,G 1,G 6,G 4,0,0,0,0,-1,1,0,1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,1,1,1,1,-1
"1,221",Clus 5,G 6,G 1,10,G 1,G 1,G 1,G 1,G 3,G 3,G 3,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0,1,1,1,1,0,1,-1
"1,222",Clus 1,G 5,G 2,10,G 1,G 1,G 2,G 1,G 2,G 7,G 3,-1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,0,0,-1,-1,-1,1,1,-1
"1,231",Clus 1,G 6,G 2,15,G 1,G 1,G 1,G 1,G 2,G 5,G 10,0,0,-1,0,-1,0,-1,0,1,0,0,-1,0,0,1,0,0,0,-1,-1,0,1,1,0,0,0,0,1,1,0,1,0
"1,254",Clus 2,G 9,G 2,15,G 2,G 2,G 2,G 1,G 1,G 10,G 3,0,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,1,1,1,-1,-1
"1,273",Clus 4,G 9,G 2,10,G 2,G 1,G 3,G 1,G 4,G 3,G 3,0,-1,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,1,0,0,1,-1,-1
"1,277",Clus 3,G 10,G 2,6,G 1,G 2,G 2,G 1,G 1,G 9,G 2,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0
"1,280",Clus 2,G 7,G 1,30,G 2,G 1,G 2,G 1,G 2,G 8,G 4,-1,0,0,0,-1,0,0,0,0,1,0,-1,-1,0,0,0,1,-1,0,-1,0,1,1,0,-1,-1,0,1,1,1,-1,0
"1,303",Clus 3,G 6,G 1,7,G 2,G 2,G 2,G 1,G 1,G 3,G 4,1,0,0,0,0,1,0,1,1,1,-1,0,-1,0,0,1,0,-1,-1,0,0,0,1,0,-1,-1,0,0,1,1,-1,0
"1,360",Clus 1,G 8,G 2,10,G 1,G 1,G 1,G 1,G 2,G 4,G 7,0,0,-1,0,0,0,0,1,1,0,-1,-1,-1,0,0,1,0,0,-1,0,1,0,0,0,1,1,0,1,1,1,1,-1
"1,368",Clus 1,G 5,G 1,15,G 2,G 1,G 1,G 1,G 4,G 1,G 1,-1,0,-1,1,-1,0,0,1,1,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,1,0,-1,0,0,0,1,1,0,0
"1,376",Clus 5,G 10,G 1,5,G 1,G 1,G 1,G 1,G 3,G 6,G 3,0,-1,-1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0,1,1,1,1,0,-1
"1,383",Clus 2,G 7,G 2,10,G 2,G 1,G 1,G 1,G 4,G 10,G 5,-1,-1,0,0,0,0,-1,0,0,0,0,-1,1,1,0,1,1,1,-1,0,-1,0,0,0,0,-1,1,1,0,1,-1,-1
"1,391",Clus 2,G 6,G 2,20,G 2,G 1,G 1,G 1,G 4,G 6,G 3,0,0,1,0,-1,0,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,1,1,0,-1,-1
